Date : 2022-11-22 04:36:43
Directory : /Users/tkkwon/Github/2022-11-canto
Total : 429 files,  148721 codes, 27532 comments, 17683 blanks, all 193936 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/tkkwon/Github/2022-11-canto/Canto/app/ante/ante.go                                                     | Go               |         40 |          7 |          9 |         56 |
| /Users/tkkwon/Github/2022-11-canto/Canto/app/ante/comission.go                                                | Go               |         62 |          9 |         14 |         85 |
| /Users/tkkwon/Github/2022-11-canto/Canto/app/ante/doc.go                                                      | Go               |          1 |         10 |          1 |         12 |
| /Users/tkkwon/Github/2022-11-canto/Canto/app/ante/handler_options.go                                          | Go               |        110 |          9 |          9 |        128 |
| /Users/tkkwon/Github/2022-11-canto/Canto/app/ante/interfaces.go                                               | Go               |         12 |          1 |          4 |         17 |
| /Users/tkkwon/Github/2022-11-canto/Canto/app/ante/utils_test.go                                               | Go               |        145 |          3 |         29 |        177 |
| /Users/tkkwon/Github/2022-11-canto/Canto/app/ante/vesting.go                                                  | Go               |        125 |         27 |         25 |        177 |
| /Users/tkkwon/Github/2022-11-canto/Canto/app/app.go                                                           | Go               |        761 |        186 |        145 |      1,092 |
| /Users/tkkwon/Github/2022-11-canto/Canto/app/app_test.go                                                      | Go               |         31 |          2 |         10 |         43 |
| /Users/tkkwon/Github/2022-11-canto/Canto/app/export.go                                                        | Go               |        145 |         28 |         39 |        212 |
| /Users/tkkwon/Github/2022-11-canto/Canto/app/sigverify.go                                                     | Go               |         60 |         14 |         13 |         87 |
| /Users/tkkwon/Github/2022-11-canto/Canto/app/sigverify_test.go                                                | Go               |        127 |          0 |         14 |        141 |
| /Users/tkkwon/Github/2022-11-canto/Canto/app/test_helpers.go                                                  | Go               |         80 |          8 |         15 |        103 |
| /Users/tkkwon/Github/2022-11-canto/Canto/app/tps_counter.go                                                   | Go               |        103 |          4 |         22 |        129 |
| /Users/tkkwon/Github/2022-11-canto/Canto/app/tps_counter_test.go                                              | Go               |         60 |          3 |         12 |         75 |
| /Users/tkkwon/Github/2022-11-canto/Canto/app/upgrades/v2/constants.go                                         | Go               |          4 |          1 |          2 |          7 |
| /Users/tkkwon/Github/2022-11-canto/Canto/app/upgrades/v2/upgrades.go                                          | Go               |         16 |          2 |          4 |         22 |
| /Users/tkkwon/Github/2022-11-canto/Canto/app/upgrades/v2/upgrades_test.go                                     | Go               |          1 |          0 |          1 |          2 |
| /Users/tkkwon/Github/2022-11-canto/Canto/app/upgrades/v5/constants.go                                         | Go               |          4 |          1 |          2 |          7 |
| /Users/tkkwon/Github/2022-11-canto/Canto/app/upgrades/v5/upgrades.go                                          | Go               |         16 |          2 |          4 |         22 |
| /Users/tkkwon/Github/2022-11-canto/Canto/buf.work.yaml                                                        | YAML             |          4 |          0 |          1 |          5 |
| /Users/tkkwon/Github/2022-11-canto/Canto/client/docs/config.json                                              | JSON             |        180 |          0 |          1 |        181 |
| /Users/tkkwon/Github/2022-11-canto/Canto/client/docs/statik/init.go                                           | Go               |          2 |          4 |          3 |          9 |
| /Users/tkkwon/Github/2022-11-canto/Canto/client/docs/statik/statik.go                                         | Go               |          6 |          4 |          3 |         13 |
| /Users/tkkwon/Github/2022-11-canto/Canto/client/docs/swagger-ui/index.html                                    | HTML             |         53 |          1 |          7 |         61 |
| /Users/tkkwon/Github/2022-11-canto/Canto/client/docs/swagger-ui/oauth2-redirect.html                          | HTML             |         61 |          0 |          7 |         68 |
| /Users/tkkwon/Github/2022-11-canto/Canto/client/docs/swagger-ui/swagger-ui-bundle.js                          | JavaScript       |     22,408 |     18,828 |        540 |     41,776 |
| /Users/tkkwon/Github/2022-11-canto/Canto/client/docs/swagger-ui/swagger-ui-standalone-preset.js               | JavaScript       |      8,277 |      4,717 |        179 |     13,173 |
| /Users/tkkwon/Github/2022-11-canto/Canto/client/docs/swagger-ui/swagger-ui.css                                | CSS              |          2 |          1 |          0 |          3 |
| /Users/tkkwon/Github/2022-11-canto/Canto/client/docs/swagger-ui/swagger.yaml                                  | YAML             |     44,549 |          0 |      8,962 |     53,511 |
| /Users/tkkwon/Github/2022-11-canto/Canto/cmd/cantod/cmd_test.go                                               | Go               |         33 |          0 |          8 |         41 |
| /Users/tkkwon/Github/2022-11-canto/Canto/cmd/cantod/genaccounts.go                                            | Go               |        211 |         17 |         51 |        279 |
| /Users/tkkwon/Github/2022-11-canto/Canto/cmd/cantod/init.go                                                   | Go               |        127 |         12 |         32 |        171 |
| /Users/tkkwon/Github/2022-11-canto/Canto/cmd/cantod/main.go                                                   | Go               |         28 |          5 |          9 |         42 |
| /Users/tkkwon/Github/2022-11-canto/Canto/cmd/cantod/root.go                                                   | Go               |        228 |         12 |         47 |        287 |
| /Users/tkkwon/Github/2022-11-canto/Canto/cmd/cantod/testnet.go                                                | Go               |        446 |         16 |         98 |        560 |
| /Users/tkkwon/Github/2022-11-canto/Canto/cmd/config/config.go                                                 | Go               |         36 |         12 |         10 |         58 |
| /Users/tkkwon/Github/2022-11-canto/Canto/cmd/config/observability.go                                          | Go               |          4 |         28 |          7 |         39 |
| /Users/tkkwon/Github/2022-11-canto/Canto/config.yml                                                           | YAML             |         39 |          0 |          1 |         40 |
| /Users/tkkwon/Github/2022-11-canto/Canto/contracts/ERC20Burnable.sol                                          | Solidity         |         16 |         23 |          5 |         44 |
| /Users/tkkwon/Github/2022-11-canto/Canto/contracts/ERC20DirectBalanceManipulation.sol                         | Solidity         |         15 |          4 |          5 |         24 |
| /Users/tkkwon/Github/2022-11-canto/Canto/contracts/ERC20MaliciousDelayed.sol                                  | Solidity         |         15 |          5 |          5 |         25 |
| /Users/tkkwon/Github/2022-11-canto/Canto/contracts/ERC20MinterBurnerDecimals.sol                              | Solidity         |         49 |         64 |         12 |        125 |
| /Users/tkkwon/Github/2022-11-canto/Canto/contracts/Port.sol                                                   | Solidity         |         71 |          5 |          8 |         84 |
| /Users/tkkwon/Github/2022-11-canto/Canto/contracts/ProposalStore.go                                           | Go               |         16 |          2 |          6 |         24 |
| /Users/tkkwon/Github/2022-11-canto/Canto/contracts/callee.go                                                  | Go               |         11 |          7 |          6 |         24 |
| /Users/tkkwon/Github/2022-11-canto/Canto/contracts/callee.sol                                                 | Solidity         |          7 |          1 |          3 |         11 |
| /Users/tkkwon/Github/2022-11-canto/Canto/contracts/caller.go                                                  | Go               |         11 |          6 |          6 |         23 |
| /Users/tkkwon/Github/2022-11-canto/Canto/contracts/caller.sol                                                 | Solidity         |         20 |          3 |          5 |         28 |
| /Users/tkkwon/Github/2022-11-canto/Canto/contracts/compiled_contracts/ERC20Burnable.json                      | JSON             |          5 |          0 |          1 |          6 |
| /Users/tkkwon/Github/2022-11-canto/Canto/contracts/compiled_contracts/ERC20DirectBalanceManipulation.json     | JSON             |          5 |          0 |          1 |          6 |
| /Users/tkkwon/Github/2022-11-canto/Canto/contracts/compiled_contracts/ERC20MaliciousDelayed.json              | JSON             |          5 |          0 |          1 |          6 |
| /Users/tkkwon/Github/2022-11-canto/Canto/contracts/compiled_contracts/ERC20MinterBurnerDecimals.json          | JSON             |          5 |          0 |          1 |          6 |
| /Users/tkkwon/Github/2022-11-canto/Canto/contracts/compiled_contracts/ProposalStore.json                      | JSON             |          4 |          0 |          1 |          5 |
| /Users/tkkwon/Github/2022-11-canto/Canto/contracts/compiled_contracts/callee.json                             | JSON             |          5 |          0 |          2 |          7 |
| /Users/tkkwon/Github/2022-11-canto/Canto/contracts/compiled_contracts/caller.json                             | JSON             |          5 |          0 |          1 |          6 |
| /Users/tkkwon/Github/2022-11-canto/Canto/contracts/compiled_contracts/turnstile.json                          | JSON             |          5 |          0 |          2 |          7 |
| /Users/tkkwon/Github/2022-11-canto/Canto/contracts/csr.go                                                     | Go               |         19 |          1 |          6 |         26 |
| /Users/tkkwon/Github/2022-11-canto/Canto/contracts/erc20.go                                                   | Go               |         23 |          3 |         10 |         36 |
| /Users/tkkwon/Github/2022-11-canto/Canto/contracts/erc20DirectBalanceManipulation.go                          | Go               |         23 |          5 |         10 |         38 |
| /Users/tkkwon/Github/2022-11-canto/Canto/contracts/erc20burnable.go                                           | Go               |         16 |          2 |          6 |         24 |
| /Users/tkkwon/Github/2022-11-canto/Canto/contracts/erc20maliciousdelayed.go                                   | Go               |         23 |          5 |         10 |         38 |
| /Users/tkkwon/Github/2022-11-canto/Canto/contracts/package-lock.json                                          | JSON             |         13 |          0 |          1 |         14 |
| /Users/tkkwon/Github/2022-11-canto/Canto/contracts/package.json                                               | JSON             |         26 |          0 |          1 |         27 |
| /Users/tkkwon/Github/2022-11-canto/Canto/contracts/turnstile.sol                                              | Solidity         |         86 |         33 |         36 |        155 |
| /Users/tkkwon/Github/2022-11-canto/Canto/crypto/keyring/options.go                                            | Go               |         15 |          6 |          5 |         26 |
| /Users/tkkwon/Github/2022-11-canto/Canto/go.mod                                                               | Go Module File   |        164 |          0 |          5 |        169 |
| /Users/tkkwon/Github/2022-11-canto/Canto/go.sum                                                               | Go Checksum File |      1,307 |          0 |          1 |      1,308 |
| /Users/tkkwon/Github/2022-11-canto/Canto/ibc/module.go                                                        | Go               |         93 |         20 |         14 |        127 |
| /Users/tkkwon/Github/2022-11-canto/Canto/ibc/module_test.go                                                   | Go               |        132 |         21 |         19 |        172 |
| /Users/tkkwon/Github/2022-11-canto/Canto/ibc/testing/README.md                                                | Markdown         |        242 |          0 |         85 |        327 |
| /Users/tkkwon/Github/2022-11-canto/Canto/ibc/testing/app.go                                                   | Go               |         80 |         11 |         19 |        110 |
| /Users/tkkwon/Github/2022-11-canto/Canto/ibc/testing/chain.go                                                 | Go               |         76 |         14 |         26 |        116 |
| /Users/tkkwon/Github/2022-11-canto/Canto/ibc/testing/coordinator.go                                           | Go               |         26 |          3 |         11 |         40 |
| /Users/tkkwon/Github/2022-11-canto/Canto/ibc/utils.go                                                         | Go               |         40 |         13 |         12 |         65 |
| /Users/tkkwon/Github/2022-11-canto/Canto/ibc/utils_test.go                                                    | Go               |        204 |          1 |         11 |        216 |
| /Users/tkkwon/Github/2022-11-canto/Canto/init.bat                                                             | Batch            |         52 |          0 |         19 |         71 |
| /Users/tkkwon/Github/2022-11-canto/Canto/init.sh                                                              | Shell Script     |         59 |         31 |         20 |        110 |
| /Users/tkkwon/Github/2022-11-canto/Canto/init_genesis.sh                                                      | Shell Script     |      9,438 |         25 |         23 |      9,486 |
| /Users/tkkwon/Github/2022-11-canto/Canto/init_testnet.sh                                                      | Shell Script     |         63 |         20 |         19 |        102 |
| /Users/tkkwon/Github/2022-11-canto/Canto/package.json                                                         | JSON             |         26 |          0 |          1 |         27 |
| /Users/tkkwon/Github/2022-11-canto/Canto/proposal/CoinGovernanceMigration-Mainnet.json                        | JSON             |          7 |          0 |          1 |          8 |
| /Users/tkkwon/Github/2022-11-canto/Canto/proposal/GovernanceMigration-Mainnet.json                            | JSON             |          7 |          0 |          1 |          8 |
