"filename", "language", "Markdown", "Makefile", "Shell Script", "Solidity", "Go", "JSON", "HTML", "CSS", "JavaScript", "YAML", "Batch", "Ignore", "Docker", "Go Checksum File", "Go Module File", "comment", "blank", "total"
"/Users/tkkwon/Github/2022-11-canto/CIP-001/README.md", "Markdown", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31
"/Users/tkkwon/Github/2022-11-canto/CIP-001/out/Turnstile.sol/Turnstile.json", "JSON", 0, 0, 0, 0, 0, 6071, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6071
"/Users/tkkwon/Github/2022-11-canto/CIP-001/script/Turnstile.s.sol", "Solidity", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 17
"/Users/tkkwon/Github/2022-11-canto/CIP-001/src/Turnstile.sol", "Solidity", 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 37, 155
"/Users/tkkwon/Github/2022-11-canto/CIP-001/test/Turnstile.t.sol", "Solidity", 0, 0, 0, 235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 79, 315
"/Users/tkkwon/Github/2022-11-canto/CIP-001/utils/LocalEthereumFork.sh", "Shell Script", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/tkkwon/Github/2022-11-canto/CIP-001/utils/LocalForkDeploy.sh", "Shell Script", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 6
"/Users/tkkwon/Github/2022-11-canto/Canto/.bencher/config.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 1, 6
"/Users/tkkwon/Github/2022-11-canto/Canto/.build.sh", "Shell Script", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 8, 44
"/Users/tkkwon/Github/2022-11-canto/Canto/.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 1, 5
"/Users/tkkwon/Github/2022-11-canto/Canto/.solhint.json", "JSON", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/tkkwon/Github/2022-11-canto/Canto/Docker/Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 12, 15, 52
"/Users/tkkwon/Github/2022-11-canto/Canto/Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 11, 24
"/Users/tkkwon/Github/2022-11-canto/Canto/Makefile", "Makefile", 0, 429, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 117, 624
"/Users/tkkwon/Github/2022-11-canto/Canto/README.md", "Markdown", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 41
"/Users/tkkwon/Github/2022-11-canto/Canto/app/ante/ante.go", "Go", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 56
"/Users/tkkwon/Github/2022-11-canto/Canto/app/ante/comission.go", "Go", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 14, 85
"/Users/tkkwon/Github/2022-11-canto/Canto/app/ante/doc.go", "Go", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 1, 12
"/Users/tkkwon/Github/2022-11-canto/Canto/app/ante/handler_options.go", "Go", 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 128
"/Users/tkkwon/Github/2022-11-canto/Canto/app/ante/interfaces.go", "Go", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 17
"/Users/tkkwon/Github/2022-11-canto/Canto/app/ante/utils_test.go", "Go", 0, 0, 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29, 177
